"Line number in raw-data/historische_familiennnamen.csv";"Name";"Canton";"Commune";"Reason"
212090;"von Sury d'Aspremont";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
212091;"von Sury von Büssy";"SO";"Solothurn";"Duplicate entry in historische_familiennamen.csv"
212092;"von Tavel";"BE";"Bern";"Duplicate entry in historische_familiennamen.csv"
212093;"von Teufenstein";"SO";"Schönenwerd";"Duplicate entry in historische_familiennamen.csv"
212094;"von Tobel";"BE";"Bern";"Duplicate entry in historische_familiennamen.csv"
212095;"von Tobel";"ZH";"Erlenbach";"Duplicate entry in historische_familiennamen.csv"
212096;"von Tobel";"ZH";"Gossau";"Duplicate entry in historische_familiennamen.csv"
212097;"von Tobel";"ZH";"Hombrechtikon";"Duplicate entry in historische_familiennamen.csv"
212098;"von Tobel";"ZH";"Meilen";"Duplicate entry in historische_familiennamen.csv"
212099;"von Tobel";"ZH";"Pfäffikon";"Duplicate entry in historische_familiennamen.csv"
212100;"von Tobel";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
212101;"von Tobel";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
212102;"von Tolnai";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
212103;"von Tomei";"NE";"Vaumarcus";"Duplicate entry in historische_familiennamen.csv"
212104;"von Tscharner";"BE";"Bern";"Duplicate entry in historische_familiennamen.csv"
212105;"von Türkheim";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
212106;"von Urach";"BE";"Saanen";"Duplicate entry in historische_familiennamen.csv"
212107;"von Vacano";"GL";"Glarus";"Duplicate entry in historische_familiennamen.csv"
212108;"von Vépy-Vogronics";"BE";"Erlenbach im Simmental";"Duplicate entry in historische_familiennamen.csv"
212109;"von Vietinghoff";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
212110;"von Vigier-von Steinbrugg";"SO";"Solothurn";"Duplicate entry in historische_familiennamen.csv"
212111;"von Vintschger";"LU";"Udligenswil";"Duplicate entry in historische_familiennamen.csv"
212112;"von Virag";"SG";"Eichberg";"Duplicate entry in historische_familiennamen.csv"
212113;"von Vivis";"LU";"Luzern";"Duplicate entry in historische_familiennamen.csv"
212114;"von Vivis";"SO";"Solothurn";"Duplicate entry in historische_familiennamen.csv"
212115;"von Waldkirch";"SH";"Schaffhausen";"Duplicate entry in historische_familiennamen.csv"
212116;"von Waldkirch";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
212117;"von Wartburg";"AG";"Aarau";"Duplicate entry in historische_familiennamen.csv"
212118;"von Wartburg";"AG";"Aarburg";"Duplicate entry in historische_familiennamen.csv"
212119;"von Wartburg";"BE";"Rohrbach";"Duplicate entry in historische_familiennamen.csv"
212120;"von Wartburg";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
212121;"von Wartburg";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
212122;"von Wartburg";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
212123;"von Wartburg";"SO";"Riedholz";"Duplicate entry in historische_familiennamen.csv"
212124;"von Wartburg";"SO";"Rüttenen";"Duplicate entry in historische_familiennamen.csv"
212125;"von Wartburg";"SO";"Wangen bei Olten";"Duplicate entry in historische_familiennamen.csv"
212126;"von Wartburg";"ZH";"Hittnau";"Duplicate entry in historische_familiennamen.csv"
212127;"von Wartburg";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
212128;"von Wartburg";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
212129;"von Wattenwyl";"BE";"Bern";"Duplicate entry in historische_familiennamen.csv"
212130;"von Wedel";"BE";"Evilard";"Duplicate entry in historische_familiennamen.csv"
212131;"von Weiss";"BE";"Bern";"Duplicate entry in historische_familiennamen.csv"
212132;"von Weissenfluh";"BE";"Gadmen";"Duplicate entry in historische_familiennamen.csv"
212133;"von Weissenfluh";"BE";"Guttannen";"Duplicate entry in historische_familiennamen.csv"
212134;"von Weissenfluh";"BE";"Hasliberg";"Duplicate entry in historische_familiennamen.csv"
212135;"von Weissenfluh";"BE";"Innertkirchen";"Duplicate entry in historische_familiennamen.csv"
212136;"von Weissenfluh";"BE";"Meiringen";"Duplicate entry in historische_familiennamen.csv"
212137;"von Werdt";"BE";"Bern";"Duplicate entry in historische_familiennamen.csv"
212138;"von Werdt";"BE";"Toffen";"Duplicate entry in historische_familiennamen.csv"
212139;"von Werdt";"LU";"Luzern";"Duplicate entry in historische_familiennamen.csv"
212140;"von Werra";"VS";"Leuk";"Duplicate entry in historische_familiennamen.csv"
212141;"von Westenholz";"SG";"St. Gallen";"Duplicate entry in historische_familiennamen.csv"
212142;"von Weydlich";"BE";"Rohrbach";"Duplicate entry in historische_familiennamen.csv"
212143;"von Weymarn";"GE";"Genève";"Duplicate entry in historische_familiennamen.csv"
212144;"von Wild";"BE";"Bern";"Duplicate entry in historische_familiennamen.csv"
212145;"von Willa";"VS";"Leuk";"Duplicate entry in historische_familiennamen.csv"
212146;"von Wurstemberger";"BE";"Bern";"Duplicate entry in historische_familiennamen.csv"
212147;"von Wyl";"GE";"Genève";"Duplicate entry in historische_familiennamen.csv"
212148;"von Wyl";"OW";"Sarnen";"Duplicate entry in historische_familiennamen.csv"
212149;"von Wyl";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
212150;"von Wyss";"ZH";"Adliswil";"Duplicate entry in historische_familiennamen.csv"
212151;"von Wyss";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
212152;"von Wyttenbach";"BE";"Bern";"Duplicate entry in historische_familiennamen.csv"
212153;"von Zabern";"TG";"Langenhart";"Duplicate entry in historische_familiennamen.csv"
212154;"von Zastrow";"NE";"Neuchâtel";"Duplicate entry in historische_familiennamen.csv"
212155;"von Zeerleder";"BE";"Bern";"Duplicate entry in historische_familiennamen.csv"
212156;"von Zelewsky";"SH";"Schaffhausen";"Duplicate entry in historische_familiennamen.csv"
212157;"von Zenker";"BE";"Bern";"Duplicate entry in historische_familiennamen.csv"
212158;"von Ziegler";"GE";"Genève";"Duplicate entry in historische_familiennamen.csv"
212159;"von Ziegler";"SH";"Schaffhausen";"Duplicate entry in historische_familiennamen.csv"
212160;"von Zuben";"OW";"Alpnach";"Duplicate entry in historische_familiennamen.csv"
212161;"von Zuben";"OW";"Kerns";"Duplicate entry in historische_familiennamen.csv"
