Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache
Steinerberg;6416;0;Steinerberg;1374;SZ;2687124.622;1211864.360;de
Unteriberg;8842;0;Unteriberg;1375;SZ;2703673.999;1212606.154;de
Studen SZ;8845;0;Unteriberg;1375;SZ;2705955.731;1214538.808;de
Pilatus Kulm;6010;2;Alpnach;1401;OW;2662090.586;1203455.374;de
Alpnachstad;6053;0;Alpnach;1401;OW;2663772.248;1200633.747;de
Alpnach Dorf;6055;0;Alpnach;1401;OW;2663438.271;1199223.442;de
Grafenort;6388;0;Engelberg;1402;OW;2671188.955;1191465.494;de
Engelberg;6390;0;Engelberg;1402;OW;2673650.284;1185458.643;de
Giswil;6074;0;Giswil;1403;OW;2656655.948;1187569.990;de
Kerns;6064;0;Kerns;1404;OW;2664125.636;1194883.070;de
St. Niklausen OW;6066;0;Kerns;1404;OW;2664390.830;1191837.753;de
Melchtal;6067;0;Kerns;1404;OW;2665162.068;1187325.695;de
Melchsee-Frutt;6068;0;Kerns;1404;OW;2663426.604;1180600.578;de
Lungern;6078;0;Lungern;1405;OW;2655009.667;1181515.273;de
Bürglen OW;6078;2;Lungern;1405;OW;2655519.508;1184802.358;de
Sachseln;6072;0;Sachseln;1406;OW;2660571.243;1190686.461;de
Flüeli-Ranft;6073;0;Sachseln;1406;OW;2662910.175;1191534.236;de
Kägiswil;6056;0;Sarnen;1407;OW;2662454.718;1196816.163;de
Sarnen;6060;0;Sarnen;1407;OW;2661797.304;1193924.906;de
Ramersberg;6060;2;Sarnen;1407;OW;2660412.401;1194635.098;de
Wilen (Sarnen);6062;0;Sarnen;1407;OW;2659862.970;1192597.033;de
Stalden (Sarnen);6063;0;Sarnen;1407;OW;2658684.844;1193206.214;de
Beckenried;6375;0;Beckenried;1501;NW;2678395.768;1202071.099;de
Buochs;6374;0;Buochs;1502;NW;2674684.499;1202724.808;de
Dallenwil;6383;0;Dallenwil;1503;NW;2672496.788;1198402.745;de
Wiesenberg;6383;3;Dallenwil;1503;NW;2670486.335;1197520.328;de
Wirzweli;6383;4;Dallenwil;1503;NW;2670579.933;1196220.896;de
Emmetten;6376;0;Emmetten;1504;NW;2682548.454;1201069.923;de
Bürgenstock;6363;2;Ennetbürgen;1505;NW;2671773.847;1205561.038;de
Ennetbürgen;6373;0;Ennetbürgen;1505;NW;2674238.845;1204217.651;de
Ennetmoos;6372;0;Ennetmoos;1506;NW;2668465.636;1201016.030;de
Hergiswil NW;6052;0;Hergiswil (NW);1507;NW;2665843.964;1204372.226;de
Oberdorf NW;6370;41;Oberdorf (NW);1508;NW;2672159.101;1201267.611;de
Büren NW;6382;0;Oberdorf (NW);1508;NW;2673043.804;1199246.488;de
Niederrickenbach;6383;2;Oberdorf (NW);1508;NW;2676031.419;1197179.703;de
Stans;6370;0;Stans;1509;NW;2670613.506;1201233.284;de
Stansstad;6362;0;Stansstad;1510;NW;2668551.033;1203229.206;de
Obbürgen;6363;0;Stansstad;1510;NW;2670135.375;1203801.904;de
Fürigen;6363;1;Stansstad;1510;NW;2669479.141;1203829.301;de
